alg time sample
Selection 6 1000
Insertion 0 1000
Merge 9 1000
Quick 5 1000
Selection 4 2000
Insertion 0 2000
Merge 29 2000
Quick 18 2000
Selection 5 3000
Insertion 1 3000
Merge 20 3000
Quick 3 3000
Selection 10 4000
Insertion 1 4000
Merge 14 4000
Quick 5 4000
Selection 16 5000
Insertion 0 5000
Merge 36 5000
Quick 13 5000
Selection 22 6000
Insertion 1 6000
Merge 36 6000
Quick 18 6000
Selection 30 7000
Insertion 1 7000
Merge 66 7000
Quick 25 7000
Selection 39 8000
Insertion 1 8000
Merge 50 8000
Quick 33 8000
Selection 50 9000
Insertion 0 9000
Merge 121 9000
Quick 41 9000
Selection 63 10000
Insertion 0 10000
Merge 69 10000
Quick 51 10000
Selection 73 11000
Insertion 1 11000
Merge 84 11000
Quick 61 11000
Selection 90 12000
Insertion 0 12000
Merge 101 12000
Quick 76 12000
Selection 103 13000
Insertion 1 13000
Merge 129 13000
Quick 86 13000
Selection 119 14000
Insertion 1 14000
Merge 134 14000
Quick 100 14000
Selection 137 15000
Insertion 1 15000
Merge 169 15000
Quick 117 15000
Selection 158 16000
Insertion 0 16000
Merge 173 16000
Quick 132 16000
Selection 176 17000
Insertion 0 17000
Merge 194 17000
Quick 148 17000
Selection 196 18000
Insertion 0 18000
Merge 227 18000
Quick 165 18000
Selection 222 19000
Insertion 0 19000
Merge 250 19000
Quick 184 19000
Selection 243 20000
Insertion 0 20000
Merge 268 20000
Quick 206 20000
